ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp,Unnamed: 18
23,D_RobotHorizontal,1,9,0.09346828,0.3533329,0.9000001,0.06887189,0.3694921,0.9,0.06887199,0.3694921,0.8370546,0.08053967,0.4215472,0.7374397,0.06294549,202404111426017713,
23,D_RobotHorizontal,2,3,-0.03202085,0.7807099,0.9,-0.05357883,0.8047762,0.9,-0.05357877,0.8047763,0.8049026,-0.04475687,0.7821662,0.6945397,0.09509746,202404111428073896,
23,D_RobotHorizontal,2,8,-0.0320209,0.3352903,0.9,-0.05679796,0.3460015,0.9000001,-0.05679783,0.3460015,0.8745356,-0.04072497,0.3956691,0.774317,0.02546449,202404111428214054,
23,D_RobotHorizontal,2,2,0.09346839,0.7626672,0.9000002,0.111625,0.7384416,0.9,0.1116252,0.7384415,0.8064616,0.109774,0.7292437,0.6938515,0.09353843,202404111428289436,
23,D_RobotHorizontal,2,7,-0.1473437,0.3879564,0.9000002,-0.1568927,0.4117666,0.9000001,-0.1568926,0.4117666,0.8970742,-0.1257005,0.445025,0.7936821,0.002925948,202404111428337564,
23,D_RobotHorizontal,2,1,0.1892821,0.6796442,0.9,0.2068436,0.6549789,0.9000001,0.2068437,0.654979,0.8164456,0.1972421,0.6558415,0.7038577,0.08355444,202404111428420557,
23,D_RobotHorizontal,2,6,-0.2158859,0.4946103,0.9,-0.2374902,0.4698474,0.9000001,-0.23749,0.4698474,0.8145345,-0.199377,0.5072244,0.7149383,0.08546552,202404111428511066,
23,D_RobotHorizontal,2,0,0.2250001,0.5580001,0.9000002,0.2000776,0.5733526,0.9000002,0.2000777,0.5733526,0.8186922,0.1991738,0.5886348,0.706734,0.0813079,202404111429594770,
23,D_RobotHorizontal,2,5,-0.2158859,0.6213899,0.9000002,-0.1911723,0.6220997,0.9000001,-0.1911721,0.6220998,0.81242,-0.1801372,0.6415028,0.7016465,0.08758014,202404111430254712,
23,D_RobotHorizontal,2,10,0.189282,0.4363558,0.9,0.1680483,0.4270418,0.8998508,0.1680485,0.4270419,0.8436226,0.158006,0.4737515,0.7412195,0.05622816,202404111430383467,
23,D_RobotHorizontal,2,4,-0.1473437,0.7280439,0.9000001,-0.1509172,0.7035874,0.8999752,-0.1509174,0.7035874,0.8071384,-0.1293624,0.7108672,0.6964525,0.09283684,202404111430558731,
23,D_RobotHorizontal,2,9,0.09346828,0.3533329,0.9000001,0.06921092,0.3304142,0.9000001,0.06921095,0.3304143,0.8355767,0.07999743,0.3891715,0.739659,0.06442333,202404111431103680,
23,B_HumanHorizontal,1,3,-0.03202085,0.7807099,0.9,-0.02849579,0.780587,0.8995147,-0.02849621,0.7805862,0.7996193,-0.001214718,0.7386122,0.6983134,0.09989537,202404111437055175,
23,B_HumanHorizontal,1,8,-0.0320209,0.3352903,0.9,-0.03481126,0.358581,0.8998505,-0.03481123,0.3585809,0.8995028,-0.000932669,0.3744309,0.7928725,0.000347761,202404111437094391,
23,B_HumanHorizontal,1,2,0.09346839,0.7626672,0.9000002,0.1177871,0.743646,0.9000001,0.1177872,0.7436458,0.8033255,0.1304723,0.7036282,0.6984126,0.09667463,202404111437295529,
23,B_HumanHorizontal,1,7,-0.1473437,0.3879564,0.9000002,-0.1720153,0.3658482,0.9000001,-0.1720151,0.365848,0.8626956,-0.115385,0.3813857,0.7661523,0.03730453,202404111437368366,
23,B_HumanHorizontal,1,1,0.1892821,0.6796442,0.9,0.1759061,0.7046274,0.9000001,0.1759062,0.7046272,0.8041508,0.1844722,0.6696805,0.6970323,0.09584934,202404111437435359,
23,B_HumanHorizontal,1,6,-0.2158859,0.4946103,0.9,-0.1923494,0.4932016,0.8998777,-0.19235,0.493202,0.8531972,-0.1336467,0.4895024,0.7567129,0.04668055,202404111437470848,
23,B_HumanHorizontal,1,0,0.2250001,0.5580001,0.9000002,0.2007819,0.5714155,0.9000002,0.200782,0.5714154,0.8268963,0.2114113,0.5549268,0.7156121,0.0731039,202404111437509529,
23,B_HumanHorizontal,1,5,-0.2158859,0.6213899,0.9000002,-0.2150271,0.6059558,0.8996204,-0.2150267,0.6059557,0.7998975,-0.1570752,0.6024577,0.7029522,0.09972281,202404111438010994,
23,B_HumanHorizontal,1,10,0.189282,0.4363558,0.9,0.1655304,0.4611963,0.9000001,0.1655304,0.4611963,0.8655858,0.1762305,0.4676262,0.7532775,0.03441428,202404111438104703,
23,B_HumanHorizontal,1,4,-0.1473437,0.7280439,0.9000001,-0.1309832,0.7523993,0.9000002,-0.1309831,0.7523993,0.8168819,-0.09401362,0.7158805,0.7165392,0.08311822,202404111438183453,
23,B_HumanHorizontal,1,9,0.09346828,0.3533329,0.9000001,0.1009942,0.3780974,0.9000002,0.1009943,0.3780974,0.8545962,0.1187185,0.4087094,0.7472754,0.04540395,202404111438257561,
23,B_HumanHorizontal,2,3,-0.03202109,0.7807099,0.9000005,-0.02337279,0.7678205,0.8996223,-0.02337302,0.7678204,0.8001921,0.008087587,0.7253734,0.7003046,0.09943017,202404111444578871,
23,B_HumanHorizontal,2,8,-0.03202107,0.3352903,0.9000004,-0.03917168,0.3590386,0.9000005,-0.03917118,0.3590381,0.8476275,0.007427753,0.378419,0.746524,0.05237299,202404111445033175,
23,B_HumanHorizontal,2,2,0.09346813,0.7626672,0.9000005,0.07971138,0.738269,0.9000005,0.07971189,0.7382684,0.8157512,0.09649304,0.6974951,0.7117083,0.08424928,202404111445129715,
23,B_HumanHorizontal,2,7,-0.1473439,0.3879564,0.9000004,-0.1336581,0.4120809,0.9000004,-0.1336575,0.4120805,0.8861113,-0.08432959,0.4158057,0.7845148,0.01388907,202404111445168199,
23,B_HumanHorizontal,2,1,0.1892818,0.6796442,0.9000006,0.1871369,0.6662452,0.8995887,0.1871367,0.6662452,0.7998413,0.199065,0.6357116,0.6917006,0.09974734,202404111445231062,
23,B_HumanHorizontal,2,6,-0.2158862,0.4946103,0.9000004,-0.2241613,0.4704315,0.9000003,-0.2241607,0.4704313,0.8743479,-0.1680959,0.4643705,0.7764243,0.02565247,202404111445298239,
23,B_HumanHorizontal,2,0,0.2249999,0.558,0.9000006,0.2301538,0.5335048,0.9000006,0.2301543,0.5335045,0.8122824,0.2400623,0.523381,0.7001736,0.08771815,202404111445437704,
23,B_HumanHorizontal,2,5,-0.2158861,0.6213899,0.9000004,-0.1918264,0.6297195,0.9000004,-0.1918258,0.629719,0.8565763,-0.1461698,0.6005772,0.7574034,0.04342408,202404111445568191,
23,B_HumanHorizontal,2,10,0.1892818,0.4363558,0.9000005,0.1845251,0.4297932,0.8995405,0.1845255,0.4297932,0.799612,0.2047531,0.4422538,0.6891376,0.09992851,202404111446078726,
23,B_HumanHorizontal,2,4,-0.147344,0.7280437,0.9000004,-0.1234222,0.7380735,0.9000004,-0.1234216,0.7380728,0.8200412,-0.08421183,0.7019891,0.720394,0.0799592,202404111446184703,
23,B_HumanHorizontal,2,9,0.09346815,0.3533328,0.9000005,0.08732685,0.3777459,0.9000006,0.08732733,0.3777457,0.8238696,0.1207049,0.3971916,0.7176774,0.07613096,202404111446277891,
23,C_HumanVertical,1,3,-0.03202109,0.7807099,0.9000005,-0.03014421,0.7817113,0.8995077,-0.03014437,0.7817112,0.7998025,-0.005326672,0.7508782,0.693961,0.09970522,202404111449485068,
23,C_HumanVertical,1,8,-0.03202107,0.3352903,0.9000004,-0.05536391,0.3214305,0.9000005,-0.05536334,0.3214302,0.8239899,-0.01441533,0.3628759,0.7271678,0.07601051,202404111450016265,
23,C_HumanVertical,1,2,0.09346813,0.7626672,0.9000005,0.06964865,0.7482638,0.9000005,0.06964915,0.7482631,0.8029921,0.08683328,0.7207772,0.6947412,0.09700832,202404111450064832,
23,C_HumanVertical,1,7,-0.1473439,0.3879564,0.9000004,-0.1227881,0.3654622,0.9000004,-0.1227876,0.3654619,0.8247774,-0.07293112,0.3989266,0.7290514,0.07522301,202404111450115839,
23,C_HumanVertical,1,1,0.1892818,0.6796442,0.9000006,0.1650116,0.6965568,0.9000006,0.1650122,0.6965563,0.8169417,0.1689602,0.6751997,0.7060484,0.08305883,202404111450154063,
23,C_HumanVertical,1,6,-0.2158862,0.4946103,0.9000004,-0.240418,0.4947169,0.8999855,-0.2404183,0.4947173,0.8038978,-0.1806057,0.5135769,0.7098991,0.09608763,202404111450208185,
