pid,condition,tlx_item,tlx_score
14,HumanVertical,Frustration,3.0
14,Baseline,Mental Demand,3.0
14,Baseline,Physical Demand,5.0
14,Baseline,Temporal Demand,2.0
14,Baseline,Performance,1.0
14,Baseline,Effort,4.0
14,Baseline,Frustration,2.0
15,HumanVertical,Mental Demand,8.0
15,HumanVertical,Physical Demand,15.0
15,HumanVertical,Temporal Demand,11.0
15,HumanVertical,Performance,6.0
15,HumanVertical,Effort,13.0
15,HumanVertical,Frustration,6.0
15,Baseline,Mental Demand,18.0
15,Baseline,Physical Demand,16.0
15,Baseline,Temporal Demand,16.0
15,Baseline,Performance,6.0
15,Baseline,Effort,14.0
15,Baseline,Frustration,15.0
15,HumanHorizontal,Mental Demand,17.0
15,HumanHorizontal,Physical Demand,13.0
15,HumanHorizontal,Temporal Demand,15.0
15,HumanHorizontal,Performance,6.0
15,HumanHorizontal,Effort,16.0
15,HumanHorizontal,Frustration,15.0
15,RobotHorizontal,Mental Demand,9.0
15,RobotHorizontal,Physical Demand,14.0
15,RobotHorizontal,Temporal Demand,14.0
15,RobotHorizontal,Performance,9.0
15,RobotHorizontal,Effort,14.0
15,RobotHorizontal,Frustration,10.0
16,HumanVertical,Mental Demand,13.0
16,HumanVertical,Physical Demand,11.0
16,HumanVertical,Temporal Demand,9.0
16,HumanVertical,Performance,6.0
16,HumanVertical,Effort,9.0
16,HumanVertical,Frustration,3.0
16,Baseline,Mental Demand,6.0
16,Baseline,Physical Demand,12.0
16,Baseline,Temporal Demand,14.0
16,Baseline,Performance,4.0
16,Baseline,Effort,4.0
16,Baseline,Frustration,1.0
16,RobotHorizontal,Mental Demand,4.0
16,RobotHorizontal,Physical Demand,13.0
16,RobotHorizontal,Temporal Demand,14.0
16,RobotHorizontal,Performance,3.0
16,RobotHorizontal,Effort,2.0
16,RobotHorizontal,Frustration,2.0
16,HumanHorizontal,Mental Demand,2.0
16,HumanHorizontal,Physical Demand,10.0
16,HumanHorizontal,Temporal Demand,2.0
16,HumanHorizontal,Performance,2.0
16,HumanHorizontal,Effort,2.0
16,HumanHorizontal,Frustration,1.0
17,HumanVertical,Mental Demand,7.0
17,HumanVertical,Physical Demand,13.0
17,HumanVertical,Temporal Demand,13.0
17,HumanVertical,Performance,4.0
17,HumanVertical,Effort,9.0
17,HumanVertical,Frustration,7.0
17,HumanHorizontal,Mental Demand,15.0
17,HumanHorizontal,Physical Demand,18.0
17,HumanHorizontal,Temporal Demand,10.0
17,HumanHorizontal,Performance,8.0
17,HumanHorizontal,Effort,18.0
17,HumanHorizontal,Frustration,13.0
17,Baseline,Mental Demand,10.0
17,Baseline,Physical Demand,7.0
17,Baseline,Temporal Demand,13.0
17,Baseline,Performance,6.0
17,Baseline,Effort,5.0
17,Baseline,Frustration,5.0
17,RobotHorizontal,Mental Demand,18.0
