pid,condition,difficulty,tlx_mental,tlx_physical,tlx_hurried,tlx_successful,tlx_hard,tlx_insecure,tlx_ave,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_ave,owner_ave,agency_ave,gender,age,video_games,mixed_reality,interact_robot,coordination
7,D,1.0,3.0,3.0,3.0,2.0,20.0,2.0,5.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Male,30,3,1,1,3
7,B,1.0,2.0,4.0,3.0,2.0,1.0,19.0,5.166666666666667,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Male,30,3,1,1,3
8,A,4.0,11.0,12.0,15.0,15.0,13.0,15.0,13.5,5.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,3.5,Male,30,3,2,1,4
8,D,5.0,11.0,11.0,11.0,12.0,11.0,10.0,11.0,3.0,3.0,4.0,5.0,4.0,4.0,3.8333333333333335,3.0,4.25,Male,30,3,2,1,4
8,B,3.0,10.0,10.0,9.0,9.0,12.0,8.0,9.666666666666666,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Male,30,3,2,1,4
8,C,3.0,12.0,12.0,12.0,8.0,8.0,11.0,10.5,3.0,3.0,5.0,5.0,5.0,5.0,4.333333333333333,3.0,5.0,Male,30,3,2,1,4
9,A,4.0,10.0,12.0,1.0,3.0,8.0,10.0,7.333333333333333,2.0,1.0,1.0,3.0,4.0,3.0,2.333333333333333,1.5,2.75,Male,25,1,2,1,7
9,D,5.0,10.0,20.0,4.0,13.0,16.0,6.0,11.5,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,Male,25,1,2,1,7
9,C,5.0,16.0,20.0,3.0,11.0,20.0,5.0,12.5,2.0,2.0,2.0,3.0,4.0,2.0,2.5,2.0,2.75,Male,25,1,2,1,7
9,B,6.0,5.0,11.0,11.0,13.0,7.0,5.0,8.666666666666666,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Male,25,1,2,1,7
10,B,6.0,16.0,10.0,3.0,7.0,8.0,5.0,8.166666666666666,4.0,3.0,4.0,5.0,7.0,5.0,4.666666666666667,3.5,5.25,Female,24,2,1,1,1
10,A,2.0,16.0,9.0,8.0,5.0,3.0,2.0,7.166666666666667,7.0,6.0,7.0,6.0,6.0,6.0,6.333333333333333,6.5,6.25,Female,24,2,1,1,1
10,C,2.0,12.0,9.0,8.0,3.0,3.0,2.0,6.166666666666667,6.0,6.0,6.0,6.0,7.0,6.0,6.166666666666667,6.0,6.25,Female,24,2,1,1,1
10,D,1.0,7.0,12.0,5.0,2.0,1.0,1.0,4.666666666666667,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Female,24,2,1,1,1
11,B,5.0,3.0,11.0,3.0,3.0,7.0,2.0,4.833333333333333,3.0,4.0,5.0,7.0,7.0,7.0,5.5,3.5,6.5,Female,19,3,2,2,5
11,A,4.0,3.0,12.0,3.0,7.0,9.0,2.0,6.0,3.0,4.0,7.0,7.0,7.0,7.0,5.833333333333333,3.5,7.0,Female,19,3,2,2,5
11,D,4.0,3.0,12.0,3.0,5.0,8.0,3.0,5.666666666666667,4.0,7.0,7.0,7.0,7.0,7.0,6.5,5.5,7.0,Female,19,3,2,2,5
11,C,2.0,2.0,5.0,2.0,3.0,5.0,2.0,3.1666666666666665,4.0,7.0,7.0,7.0,7.0,7.0,6.5,5.5,7.0,Female,19,3,2,2,5
12,B,5.0,16.0,16.0,9.0,5.0,14.0,5.0,10.833333333333334,2.0,2.0,2.0,3.0,5.0,2.0,2.6666666666666665,2.0,3.0,Female,29,3,2,3,2
12,C,4.0,9.0,9.0,7.0,5.0,9.0,1.0,6.666666666666667,4.0,4.0,4.0,4.0,5.0,5.0,4.333333333333333,4.0,4.5,Female,29,3,2,3,2
12,D,3.0,6.0,7.0,2.0,5.0,5.0,1.0,4.333333333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Female,29,3,2,3,2
12,A,3.0,2.0,9.0,2.0,5.0,5.0,2.0,4.166666666666667,5.0,4.0,5.0,5.0,4.0,4.0,4.5,4.5,4.5,Female,29,3,2,3,2
13,B,6.0,9.0,11.0,14.0,12.0,14.0,3.0,10.5,4.0,2.0,4.0,2.0,6.0,4.0,3.6666666666666665,3.0,4.0,Female,23,1,2,2,4
13,D,4.0,7.0,4.0,7.0,9.0,7.0,5.0,6.5,5.0,4.0,5.0,5.0,5.0,5.0,4.833333333333333,4.5,5.0,Female,23,1,2,2,4
13,A,3.0,5.0,6.0,3.0,8.0,12.0,3.0,6.166666666666667,4.0,5.0,5.0,5.0,5.0,6.0,5.0,4.5,5.25,Female,23,1,2,2,4
13,C,2.0,3.0,5.0,3.0,6.0,5.0,3.0,4.166666666666667,5.0,5.0,5.0,5.0,6.0,6.0,5.333333333333333,5.0,5.5,Female,23,1,2,2,4
14,B,6.0,7.0,12.0,3.0,1.0,11.0,5.0,6.5,3.0,3.0,3.0,6.0,7.0,5.0,4.5,3.0,5.25,Male,30,1,1,1,1
14,D,3.0,3.0,10.0,5.0,1.0,6.0,3.0,4.666666666666667,5.0,5.0,4.0,5.0,7.0,7.0,5.5,5.0,5.75,Male,30,1,1,1,1
14,C,2.0,5.0,8.0,5.0,14.0,5.0,3.0,6.666666666666667,6.0,6.0,7.0,7.0,7.0,7.0,6.666666666666667,6.0,7.0,Male,30,1,1,1,1
14,A,1.0,3.0,5.0,2.0,1.0,4.0,2.0,2.833333333333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Male,30,1,1,1,1
15,C,5.0,8.0,15.0,11.0,6.0,13.0,6.0,9.833333333333334,5.0,3.0,5.0,3.0,4.0,1.0,3.5,4.0,3.25,Male,36,6,1,1,3
15,A,6.0,18.0,16.0,16.0,6.0,14.0,15.0,14.166666666666666,3.0,3.0,2.0,2.0,2.0,2.0,2.333333333333333,3.0,2.0,Male,36,6,1,1,3
15,B,5.0,17.0,13.0,15.0,6.0,16.0,15.0,13.666666666666666,2.0,3.0,2.0,2.0,3.0,2.0,2.333333333333333,2.5,2.25,Male,36,6,1,1,3
15,D,5.0,9.0,14.0,14.0,9.0,14.0,10.0,11.666666666666666,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Male,36,6,1,1,3
16,C,4.0,13.0,11.0,9.0,6.0,9.0,3.0,8.5,4.0,4.0,4.0,6.0,6.0,6.0,5.0,4.0,5.5,Female,33,3,3,1,2
16,A,2.0,6.0,12.0,14.0,4.0,4.0,1.0,6.833333333333333,4.0,4.0,4.0,6.0,6.0,6.0,5.0,4.0,5.5,Female,33,3,3,1,2
16,D,2.0,4.0,13.0,14.0,3.0,2.0,2.0,6.333333333333333,4.0,4.0,4.0,6.0,6.0,6.0,5.0,4.0,5.5,Female,33,3,3,1,2
16,B,2.0,2.0,10.0,2.0,2.0,2.0,1.0,3.1666666666666665,4.0,4.0,4.0,6.0,6.0,6.0,5.0,4.0,5.5,Female,33,3,3,1,2
17,C,5.0,7.0,13.0,13.0,4.0,9.0,7.0,8.833333333333334,6.0,5.0,6.0,6.0,6.0,5.0,5.666666666666667,5.5,5.75,Male,31,4,6,1,2
17,B,5.0,15.0,18.0,10.0,8.0,18.0,13.0,13.666666666666666,3.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,4.5,Male,31,4,6,1,2
17,A,2.0,10.0,7.0,13.0,6.0,5.0,5.0,7.666666666666667,5.0,6.0,6.0,5.0,5.0,5.0,5.333333333333333,5.5,5.25,Male,31,4,6,1,2
17,D,3.0,18.0,16.0,17.0,8.0,8.0,18.0,14.166666666666666,6.0,3.0,5.0,5.0,4.0,4.0,4.5,4.5,4.5,Male,31,4,6,1,2
18,C,4.0,5.0,7.0,6.0,7.0,7.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.666666666666667,5.5,5.75,Male,28,3,1,4,3
18,B,3.0,4.0,4.0,8.0,7.0,6.0,5.0,5.666666666666667,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Male,28,3,1,4,3
18,D,2.0,4.0,4.0,4.0,5.0,16.0,4.0,6.166666666666667,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Male,28,3,1,4,3
18,A,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,Male,28,3,1,4,3
19,C,3.0,4.0,10.0,5.0,6.0,8.0,2.0,5.833333333333333,5.0,5.0,5.0,6.0,6.0,6.0,5.5,5.0,5.75,Male,24,5,5,5,3
19,D,2.0,3.0,5.0,3.0,3.0,5.0,1.0,3.333333333333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Male,24,5,5,5,3
19,B,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.8333333333333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Male,24,5,5,5,3
19,A,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,Male,24,5,5,5,3
20,D,3.0,10.0,12.0,3.0,7.0,5.0,1.0,6.333333333333333,5.0,3.0,5.0,5.0,5.0,5.0,4.666666666666667,4.0,5.0,Female,26,1,1,1,1
20,A,5.0,7.0,14.0,5.0,9.0,12.0,5.0,8.666666666666666,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Female,26,1,1,1,1
20,B,3.0,5.0,14.0,7.0,9.0,14.0,5.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Female,26,1,1,1,1
20,C,3.0,5.0,12.0,5.0,9.0,5.0,5.0,6.833333333333333,6.0,5.0,5.0,5.0,6.0,5.0,5.333333333333333,5.5,5.25,Female,26,1,1,1,1
21,D,3.0,6.0,10.0,5.0,6.0,8.0,5.0,6.666666666666667,3.0,5.0,5.0,5.0,6.0,5.0,4.833333333333333,4.0,5.25,Male,27,2,5,2,7
21,C,2.0,2.0,5.0,2.0,3.0,3.0,1.0,2.6666666666666665,6.0,5.0,6.0,5.0,6.0,6.0,5.666666666666667,5.5,5.75,Male,27,2,5,2,7
21,A,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.6666666666666667,6.0,5.0,6.0,7.0,7.0,7.0,6.333333333333333,5.5,6.75,Male,27,2,5,2,7
21,B,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1666666666666667,7.0,6.0,7.0,7.0,7.0,7.0,6.833333333333333,6.5,7.0,Male,27,2,5,2,7
22,D,4.0,12.0,13.0,6.0,4.0,5.0,5.0,7.5,3.0,5.0,5.0,5.0,6.0,5.0,4.833333333333333,4.0,5.25,Male,24,5,1,1,3
22,B,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.1666666666666665,6.0,5.0,5.0,5.0,6.0,5.0,5.333333333333333,5.5,5.25,Male,24,5,1,1,3
22,A,1.0,7.0,5.0,3.0,2.0,3.0,2.0,3.6666666666666665,7.0,5.0,5.0,6.0,6.0,6.0,5.833333333333333,6.0,5.75,Male,24,5,1,1,3
22,C,1.0,4.0,2.0,3.0,18.0,3.0,3.0,5.5,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.5,5.75,Male,24,5,1,1,3
23,D,6.0,18.0,14.0,5.0,7.0,14.0,12.0,11.666666666666666,4.0,4.0,6.0,4.0,4.0,6.0,4.666666666666667,4.0,5.0,Female,25,3,2,1,7
23,B,4.0,10.0,7.0,2.0,1.0,1.0,2.0,3.8333333333333335,6.0,6.0,6.0,6.0,7.0,7.0,6.333333333333333,6.0,6.5,Female,25,3,2,1,7
23,C,1.0,1.0,2.0,1.0,20.0,1.0,1.0,4.333333333333333,4.0,4.0,1.0,1.0,1.0,2.0,2.1666666666666665,4.0,1.25,Female,25,3,2,1,7
23,A,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.3333333333333333,3.0,3.0,5.0,6.0,6.0,6.0,4.833333333333333,3.0,5.75,Female,25,3,2,1,7
24,D,7.0,12.0,20.0,4.0,3.0,16.0,12.0,11.166666666666666,5.0,4.0,4.0,7.0,7.0,4.0,5.166666666666667,4.5,5.5,Male,36,4,4,1,6
24,C,4.0,11.0,14.0,1.0,1.0,11.0,9.0,7.833333333333333,5.0,4.0,5.0,7.0,7.0,6.0,5.666666666666667,4.5,6.25,Male,36,4,4,1,6
24,B,3.0,11.0,14.0,1.0,3.0,8.0,5.0,7.0,5.0,5.0,5.0,7.0,7.0,5.0,5.666666666666667,5.0,6.0,Male,36,4,4,1,6
24,A,2.0,8.0,13.0,1.0,2.0,16.0,14.0,9.0,5.0,4.0,5.0,7.0,7.0,5.0,5.5,4.5,6.0,Male,36,4,4,1,6
