pid,condition,posture,time,cond_order
23,no,Q3FrontDown,49.0397,none_first
23,no,Q1FrontDown,47.6185,none_first
23,no,Q1FrontUp,20.3295,none_first
23,yes,Q3FrontUp,29.8529,none_first
23,yes,Q3FrontDown,41.4956,none_first
23,yes,Q1FrontDown,33.9002,none_first
23,yes,Q1FrontUp,28.143,none_first
24,no,Q3FrontDown,12.3735,none_first
24,no,Q1FrontUp,37.2068,none_first
24,no,Q3FrontUp,30.678,none_first
24,no,Q1FrontDown,22.0228,none_first
24,yes,Q3FrontDown,12.2572,none_first
24,yes,Q1FrontUp,25.0762,none_first
24,yes,Q3FrontUp,11.4764,none_first
24,yes,Q1FrontDown,42.5954,none_first
