ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp,
11,B_HumanHorizontal,2,0,0.2249999,0.5580001,0.9000002,0.2021947,0.5741138,0.9000003,0.2021947,0.5741135,0.8402237,0.1710168,0.5898551,0.7327569,0.05977662,202403281103284468,
11,B_HumanHorizontal,2,5,-0.2158861,0.62139,0.9000002,-0.2214545,0.6259996,0.8995286,-0.2214549,0.6259999,0.7995734,-0.1922134,0.6325949,0.6906218,0.09995515,202403281103429933,
11,B_HumanHorizontal,2,10,0.1892819,0.4363559,0.9000003,0.1804237,0.4605219,0.9000003,0.1804237,0.4605217,0.8376567,0.1651648,0.4905537,0.7297947,0.06234352,202403281103497985,
11,B_HumanHorizontal,2,4,-0.1473437,0.7280438,0.9000002,-0.155686,0.7032983,0.9000002,-0.1556859,0.7032982,0.8305978,-0.1559957,0.6913651,0.7182301,0.06940242,202403281104194459,
11,B_HumanHorizontal,2,9,0.09346822,0.3533328,0.9000002,0.1177875,0.3571907,0.8999676,0.1177876,0.3571908,0.8361741,0.1068112,0.4051751,0.7344587,0.0637935,202403281104273468,
11,A_Baseline,1,3,-0.03202096,0.7807099,0.9000002,-0.007717832,0.7750763,0.9000002,-0.00771773,0.775076,0.8033518,-0.02466087,0.757399,0.6930365,0.09664839,202403281107401102,
11,A_Baseline,1,8,-0.03202096,0.3352903,0.9000002,-0.007276823,0.3441934,0.9000003,-0.007276943,0.3441932,0.8596649,-0.01438555,0.3918921,0.7574724,0.04033537,202403281107525957,
11,A_Baseline,1,2,0.09346831,0.7626672,0.9000003,0.09659519,0.7383477,0.8999413,0.09659507,0.7383472,0.845621,0.05499828,0.719873,0.7421928,0.05432026,202403281108018955,
11,A_Baseline,1,7,-0.1473438,0.3879564,0.9000001,-0.1400539,0.3634167,0.9000002,-0.1400538,0.3634165,0.8504523,-0.1351791,0.4107248,0.7479481,0.04954786,202403281108139274,
11,A_Baseline,1,1,0.189282,0.6796442,0.9000003,0.1974636,0.6556684,0.9000002,0.1974636,0.6556683,0.8365558,0.1536807,0.6569241,0.7323903,0.0634444,202403281108307293,
11,A_Baseline,1,6,-0.215886,0.4946103,0.9000002,-0.1913187,0.4816976,0.9000001,-0.1913186,0.4816975,0.8594445,-0.1824823,0.5069093,0.7496479,0.04055558,202403281108511393,
11,A_Baseline,1,0,0.2249999,0.5580001,0.9000002,0.2004693,0.5784646,0.9000003,0.2004692,0.5784643,0.8386983,0.1682277,0.5916597,0.7312024,0.06130193,202403281109052288,
11,A_Baseline,1,5,-0.2158861,0.62139,0.9000002,-0.2093577,0.5984991,0.8998671,-0.2093579,0.5984992,0.8594626,-0.2052582,0.5999525,0.7465464,0.04040448,202403281109208878,
11,A_Baseline,1,10,0.1892819,0.4363559,0.9000003,0.1650868,0.4354814,0.8999294,0.1650866,0.4354813,0.835194,0.1420382,0.4723852,0.7309064,0.0647354,202403281109327308,
